DATE,STATE,PERMITS
2014-01-01,Chatham,587.0
2015-01-01,Chatham,596.0
2016-01-01,Chatham,707.0
2017-01-01,Chatham,748.0
2018-01-01,Chatham,710.0
2019-01-01,Chatham,902.0
2014-01-01,Camden,20.0
2015-01-01,Camden,20.0
2016-01-01,Camden,36.0
2017-01-01,Camden,52.0
2018-01-01,Camden,81.0
2019-01-01,Camden,83.0
2014-01-01,Cabarrus,1554.0
2015-01-01,Cabarrus,1763.0
2016-01-01,Cabarrus,1918.0
2017-01-01,Cabarrus,1657.0
2018-01-01,Cabarrus,2021.0
2019-01-01,Cabarrus,2714.0
2014-01-01,Buncombe,1312.0
2015-01-01,Buncombe,1353.0
2016-01-01,Buncombe,2422.0
2017-01-01,Buncombe,1900.0
2018-01-01,Buncombe,1667.0
2019-01-01,Buncombe,2096.0
2014-01-01,Brunswick,1973.0
2015-01-01,Brunswick,2325.0
2016-01-01,Brunswick,2428.0
2017-01-01,Brunswick,3342.0
2018-01-01,Brunswick,2926.0
2019-01-01,Brunswick,3352.0
2014-01-01,Bertie,20.0
2015-01-01,Bertie,18.0
2016-01-01,Bertie,25.0
2017-01-01,Bertie,12.0
2018-01-01,Bertie,11.0
2019-01-01,Bertie,19.0
2014-01-01,Bladen,80.0
2015-01-01,Bladen,42.0
2016-01-01,Bladen,41.0
2017-01-01,Bladen,41.0
2018-01-01,Bladen,31.0
2019-01-01,Bladen,52.0
2014-01-01,Beaufort,170.0
2015-01-01,Beaufort,148.0
2016-01-01,Beaufort,216.0
2017-01-01,Beaufort,179.0
2018-01-01,Beaufort,140.0
2019-01-01,Beaufort,162.0
2014-01-01,Avery,44.0
2015-01-01,Avery,47.0
2016-01-01,Avery,90.0
2017-01-01,Avery,92.0
2018-01-01,Avery,118.0
2019-01-01,Avery,131.0
2014-01-01,Ashe,75.0
2015-01-01,Ashe,77.0
2016-01-01,Ashe,84.0
2017-01-01,Ashe,95.0
2018-01-01,Ashe,94.0
2019-01-01,Ashe,115.0
2014-01-01,Alleghany,17.0
2015-01-01,Alleghany,17.0
2016-01-01,Alleghany,29.0
2017-01-01,Alleghany,18.0
2018-01-01,Alleghany,39.0
2019-01-01,Alleghany,49.0
2014-01-01,Anson,33.0
2015-01-01,Anson,36.0
2016-01-01,Anson,41.0
2017-01-01,Anson,43.0
2018-01-01,Anson,45.0
2019-01-01,Anson,47.0
2014-01-01,Alamance,606.0
2015-01-01,Alamance,1032.0
2016-01-01,Alamance,1353.0
2017-01-01,Alamance,1223.0
2018-01-01,Alamance,1419.0
2019-01-01,Alamance,1407.0
2014-01-01,Jones,10.0
2015-01-01,Jones,15.0
2016-01-01,Jones,16.0
2017-01-01,Jones,19.0
2018-01-01,Jones,22.0
2019-01-01,Jones,22.0
2014-01-01,Graham,20.0
2015-01-01,Graham,20.0
2016-01-01,Graham,24.0
2017-01-01,Graham,23.0
2018-01-01,Graham,15.0
2019-01-01,Graham,2.0
2014-01-01,Cumberland,870.0
2015-01-01,Cumberland,1112.0
2016-01-01,Cumberland,717.0
2017-01-01,Cumberland,716.0
2018-01-01,Cumberland,575.0
2019-01-01,Cumberland,962.0
2014-01-01,Columbus,35.0
2015-01-01,Columbus,31.0
2016-01-01,Columbus,35.0
2017-01-01,Columbus,89.0
2018-01-01,Columbus,47.0
2019-01-01,Columbus,53.0
2014-01-01,Carteret,230.0
2015-01-01,Carteret,345.0
2016-01-01,Carteret,329.0
2017-01-01,Carteret,631.0
2018-01-01,Carteret,378.0
2019-01-01,Carteret,493.0
2014-01-01,Caswell,23.0
2015-01-01,Caswell,56.0
2016-01-01,Caswell,43.0
2017-01-01,Caswell,38.0
2018-01-01,Caswell,58.0
2019-01-01,Caswell,21.0
2014-01-01,Chowan,17.0
2015-01-01,Chowan,10.0
2016-01-01,Chowan,19.0
2017-01-01,Chowan,21.0
2018-01-01,Chowan,20.0
2019-01-01,Chowan,19.0
2014-01-01,Currituck,241.0
2015-01-01,Currituck,288.0
2016-01-01,Currituck,255.0
2017-01-01,Currituck,327.0
2018-01-01,Currituck,425.0
2019-01-01,Currituck,448.0
2014-01-01,Dare,234.0
2015-01-01,Dare,268.0
2016-01-01,Dare,325.0
2017-01-01,Dare,306.0
2018-01-01,Dare,337.0
2019-01-01,Dare,359.0
2014-01-01,Davidson,290.0
2015-01-01,Davidson,389.0
2016-01-01,Davidson,1061.0
2017-01-01,Davidson,698.0
2018-01-01,Davidson,585.0
2019-01-01,Davidson,688.0
2014-01-01,Davie,82.0
2015-01-01,Davie,193.0
2016-01-01,Davie,125.0
2017-01-01,Davie,227.0
2018-01-01,Davie,443.0
2019-01-01,Davie,236.0
2014-01-01,Duplin,48.0
2015-01-01,Duplin,36.0
2016-01-01,Duplin,49.0
2017-01-01,Duplin,49.0
2018-01-01,Duplin,52.0
2019-01-01,Duplin,47.0
2014-01-01,Guilford,2339.0
2015-01-01,Guilford,1814.0
2016-01-01,Guilford,2204.0
2017-01-01,Guilford,2411.0
2018-01-01,Guilford,1662.0
2019-01-01,Guilford,1956.0
2014-01-01,Haywood,122.0
2015-01-01,Haywood,119.0
2016-01-01,Haywood,147.0
2017-01-01,Haywood,184.0
2018-01-01,Haywood,201.0
2019-01-01,Haywood,434.0
2014-01-01,Jackson,211.0
2015-01-01,Jackson,191.0
2016-01-01,Jackson,168.0
2017-01-01,Jackson,230.0
2018-01-01,Jackson,421.0
2019-01-01,Jackson,749.0
2014-01-01,Alexander,53.0
2015-01-01,Alexander,65.0
2016-01-01,Alexander,43.0
2017-01-01,Alexander,87.0
2018-01-01,Alexander,97.0
2019-01-01,Alexander,93.0
2014-01-01,Catawba,283.0
2015-01-01,Catawba,348.0
2016-01-01,Catawba,335.0
2017-01-01,Catawba,498.0
2018-01-01,Catawba,742.0
2019-01-01,Catawba,852.0
2014-01-01,Macon,107.0
2015-01-01,Macon,85.0
2016-01-01,Macon,91.0
2017-01-01,Macon,93.0
2018-01-01,Macon,95.0
2019-01-01,Macon,5.0
2014-01-01,Lincoln,374.0
2015-01-01,Lincoln,444.0
2016-01-01,Lincoln,816.0
2017-01-01,Lincoln,1063.0
2018-01-01,Lincoln,792.0
2019-01-01,Lincoln,725.0
2014-01-01,McDowell,106.0
2015-01-01,McDowell,142.0
2016-01-01,McDowell,81.0
2017-01-01,McDowell,112.0
2018-01-01,McDowell,122.0
2019-01-01,McDowell,127.0
2014-01-01,Lenoir,54.0
2015-01-01,Lenoir,38.0
2016-01-01,Lenoir,112.0
2017-01-01,Lenoir,29.0
2018-01-01,Lenoir,93.0
2019-01-01,Lenoir,90.0
2014-01-01,Lee,71.0
2015-01-01,Lee,81.0
2016-01-01,Lee,98.0
2017-01-01,Lee,188.0
2018-01-01,Lee,158.0
2019-01-01,Lee,185.0
2014-01-01,Johnston,1280.0
2015-01-01,Johnston,1545.0
2016-01-01,Johnston,2007.0
2017-01-01,Johnston,2255.0
2018-01-01,Johnston,2550.0
2019-01-01,Johnston,2651.0
2014-01-01,Iredell,798.0
2015-01-01,Iredell,1356.0
2016-01-01,Iredell,1348.0
2017-01-01,Iredell,1816.0
2018-01-01,Iredell,1991.0
2019-01-01,Iredell,1263.0
2014-01-01,Hyde,8.0
2015-01-01,Hyde,6.0
2016-01-01,Hyde,15.0
2017-01-01,Hyde,15.0
2018-01-01,Hyde,11.0
2019-01-01,Hyde,5.0
2014-01-01,Hertford,20.0
2015-01-01,Hertford,75.0
2016-01-01,Hertford,20.0
2017-01-01,Hertford,8.0
2018-01-01,Hertford,0.0
2019-01-01,Hertford,2.0
2014-01-01,Halifax,54.0
2015-01-01,Halifax,47.0
2016-01-01,Halifax,39.0
2017-01-01,Halifax,102.0
2018-01-01,Halifax,124.0
2019-01-01,Halifax,51.0
2014-01-01,Greene,70.0
2015-01-01,Greene,53.0
2016-01-01,Greene,14.0
2017-01-01,Greene,22.0
2018-01-01,Greene,26.0
2019-01-01,Greene,25.0
2014-01-01,Hoke,219.0
2015-01-01,Hoke,274.0
2016-01-01,Hoke,236.0
2017-01-01,Hoke,219.0
2018-01-01,Hoke,244.0
2019-01-01,Hoke,238.0
2014-01-01,Henderson,339.0
2015-01-01,Henderson,616.0
2016-01-01,Henderson,555.0
2017-01-01,Henderson,596.0
2018-01-01,Henderson,834.0
2019-01-01,Henderson,619.0
2014-01-01,Harnett,612.0
2015-01-01,Harnett,747.0
2016-01-01,Harnett,678.0
2017-01-01,Harnett,650.0
2018-01-01,Harnett,597.0
2019-01-01,Harnett,639.0
2014-01-01,Granville,224.0
2015-01-01,Granville,259.0
2016-01-01,Granville,350.0
2017-01-01,Granville,282.0
2018-01-01,Granville,253.0
2019-01-01,Granville,341.0
2014-01-01,Franklin,242.0
2015-01-01,Franklin,353.0
2016-01-01,Franklin,457.0
2017-01-01,Franklin,590.0
2018-01-01,Franklin,736.0
2019-01-01,Franklin,918.0
2014-01-01,Edgecombe,31.0
2015-01-01,Edgecombe,32.0
2016-01-01,Edgecombe,90.0
2017-01-01,Edgecombe,42.0
2018-01-01,Edgecombe,39.0
2019-01-01,Edgecombe,32.0
2014-01-01,Gaston,687.0
2015-01-01,Gaston,1361.0
2016-01-01,Gaston,1104.0
2017-01-01,Gaston,1136.0
2018-01-01,Gaston,1230.0
2019-01-01,Gaston,1396.0
2014-01-01,Forsyth,1542.0
2015-01-01,Forsyth,1383.0
2016-01-01,Forsyth,1451.0
2017-01-01,Forsyth,2765.0
2018-01-01,Forsyth,2345.0
2019-01-01,Forsyth,2255.0
2014-01-01,Durham,1591.0
2015-01-01,Durham,3060.0
2016-01-01,Durham,3097.0
2017-01-01,Durham,3084.0
2018-01-01,Durham,3359.0
2019-01-01,Durham,3945.0
2014-01-01,Clay,43.0
2015-01-01,Clay,39.0
2016-01-01,Clay,0.0
2017-01-01,Clay,45.0
2018-01-01,Clay,73.0
2019-01-01,Clay,65.0
2014-01-01,Craven,254.0
2015-01-01,Craven,354.0
2016-01-01,Craven,224.0
2017-01-01,Craven,257.0
2018-01-01,Craven,330.0
2019-01-01,Craven,466.0
2014-01-01,Cleveland,128.0
2015-01-01,Cleveland,60.0
2016-01-01,Cleveland,122.0
2017-01-01,Cleveland,174.0
2018-01-01,Cleveland,169.0
2019-01-01,Cleveland,163.0
2014-01-01,Cherokee,94.0
2015-01-01,Cherokee,132.0
2016-01-01,Cherokee,184.0
2017-01-01,Cherokee,164.0
2018-01-01,Cherokee,198.0
2019-01-01,Cherokee,190.0
2014-01-01,Caldwell,164.0
2015-01-01,Caldwell,168.0
2016-01-01,Caldwell,93.0
2017-01-01,Caldwell,108.0
2018-01-01,Caldwell,212.0
2019-01-01,Caldwell,73.0
2014-01-01,Burke,94.0
2015-01-01,Burke,224.0
2016-01-01,Burke,184.0
2017-01-01,Burke,187.0
2018-01-01,Burke,285.0
2019-01-01,Burke,290.0
2014-01-01,Randolph,184.0
2015-01-01,Randolph,211.0
2016-01-01,Randolph,310.0
2017-01-01,Randolph,328.0
2018-01-01,Randolph,354.0
2019-01-01,Randolph,302.0
2014-01-01,Pender,459.0
2015-01-01,Pender,546.0
2016-01-01,Pender,564.0
2017-01-01,Pender,504.0
2018-01-01,Pender,532.0
2019-01-01,Pender,569.0
2014-01-01,Onslow,1081.0
2015-01-01,Onslow,894.0
2016-01-01,Onslow,803.0
2017-01-01,Onslow,1005.0
2018-01-01,Onslow,1036.0
2019-01-01,Onslow,1331.0
2014-01-01,New Hanover,1749.0
2015-01-01,New Hanover,1812.0
2016-01-01,New Hanover,2383.0
2017-01-01,New Hanover,2258.0
2018-01-01,New Hanover,1918.0
2019-01-01,New Hanover,3006.0
2014-01-01,Orange,304.0
2015-01-01,Orange,691.0
2016-01-01,Orange,496.0
2017-01-01,Orange,1002.0
2018-01-01,Orange,1242.0
2019-01-01,Orange,495.0
2014-01-01,Northampton,17.0
2015-01-01,Northampton,25.0
2016-01-01,Northampton,15.0
2017-01-01,Northampton,38.0
2018-01-01,Northampton,23.0
2019-01-01,Northampton,20.0
2014-01-01,Nash,185.0
2015-01-01,Nash,231.0
2016-01-01,Nash,226.0
2017-01-01,Nash,173.0
2018-01-01,Nash,196.0
2019-01-01,Nash,200.0
2014-01-01,Montgomery,41.0
2015-01-01,Montgomery,28.0
2016-01-01,Montgomery,4.0
2017-01-01,Montgomery,54.0
2018-01-01,Montgomery,72.0
2019-01-01,Montgomery,78.0
2014-01-01,Mecklenburg,9340.0
2015-01-01,Mecklenburg,9056.0
2016-01-01,Mecklenburg,9759.0
2017-01-01,Mecklenburg,11216.0
2018-01-01,Mecklenburg,14049.0
2019-01-01,Mecklenburg,12429.0
2014-01-01,Moore,608.0
2015-01-01,Moore,562.0
2016-01-01,Moore,731.0
2017-01-01,Moore,720.0
2018-01-01,Moore,762.0
2019-01-01,Moore,836.0
2014-01-01,Mitchell,32.0
2015-01-01,Mitchell,23.0
2016-01-01,Mitchell,29.0
2017-01-01,Mitchell,28.0
2018-01-01,Mitchell,40.0
2019-01-01,Mitchell,25.0
2014-01-01,Martin,0.0
2015-01-01,Martin,0.0
2016-01-01,Martin,0.0
2017-01-01,Martin,19.0
2018-01-01,Martin,22.0
2019-01-01,Martin,0.0
2014-01-01,Madison,59.0
2015-01-01,Madison,73.0
2016-01-01,Madison,79.0
2017-01-01,Madison,91.0
2018-01-01,Madison,103.0
2019-01-01,Madison,105.0
2014-01-01,Gates,20.0
2015-01-01,Gates,24.0
2016-01-01,Gates,36.0
2017-01-01,Gates,100.0
2018-01-01,Gates,46.0
2019-01-01,Gates,31.0
2014-01-01,Perquimans,26.0
2015-01-01,Perquimans,26.0
2016-01-01,Perquimans,31.0
2017-01-01,Perquimans,34.0
2018-01-01,Perquimans,38.0
2019-01-01,Perquimans,41.0
2014-01-01,Polk,67.0
2015-01-01,Polk,61.0
2016-01-01,Polk,74.0
2017-01-01,Polk,93.0
2018-01-01,Polk,79.0
2019-01-01,Polk,84.0
2014-01-01,Swain,50.0
2015-01-01,Swain,52.0
2016-01-01,Swain,91.0
2017-01-01,Swain,56.0
2018-01-01,Swain,65.0
2019-01-01,Swain,77.0
2014-01-01,Watauga,243.0
2015-01-01,Watauga,397.0
2016-01-01,Watauga,198.0
2017-01-01,Watauga,325.0
2018-01-01,Watauga,331.0
2019-01-01,Watauga,488.0
2014-01-01,Stanly,92.0
2015-01-01,Stanly,92.0
2016-01-01,Stanly,199.0
2017-01-01,Stanly,263.0
2018-01-01,Stanly,272.0
2019-01-01,Stanly,385.0
2014-01-01,Person,105.0
2015-01-01,Person,64.0
2016-01-01,Person,82.0
2017-01-01,Person,90.0
2018-01-01,Person,105.0
2019-01-01,Person,112.0
2014-01-01,Pamlico,0.0
2015-01-01,Pamlico,66.0
2016-01-01,Pamlico,52.0
2017-01-01,Pamlico,19.0
2018-01-01,Pamlico,37.0
2019-01-01,Pamlico,64.0
2014-01-01,Pasquotank,63.0
2015-01-01,Pasquotank,86.0
2016-01-01,Pasquotank,106.0
2017-01-01,Pasquotank,118.0
2018-01-01,Pasquotank,136.0
2019-01-01,Pasquotank,144.0
2014-01-01,Richmond,197.0
2015-01-01,Richmond,188.0
2016-01-01,Richmond,205.0
2017-01-01,Richmond,231.0
2018-01-01,Richmond,230.0
2019-01-01,Richmond,249.0
2014-01-01,Robeson,140.0
2015-01-01,Robeson,105.0
2016-01-01,Robeson,85.0
2017-01-01,Robeson,123.0
2018-01-01,Robeson,106.0
2019-01-01,Robeson,426.0
2014-01-01,Rockingham,109.0
2015-01-01,Rockingham,187.0
2016-01-01,Rockingham,221.0
2017-01-01,Rockingham,316.0
2018-01-01,Rockingham,208.0
2019-01-01,Rockingham,165.0
2014-01-01,Rutherford,139.0
2015-01-01,Rutherford,110.0
2016-01-01,Rutherford,122.0
2017-01-01,Rutherford,133.0
2018-01-01,Rutherford,150.0
2019-01-01,Rutherford,145.0
2014-01-01,Sampson,65.0
2015-01-01,Sampson,76.0
2016-01-01,Sampson,73.0
2017-01-01,Sampson,151.0
2018-01-01,Sampson,120.0
2019-01-01,Sampson,140.0
2014-01-01,Wilson,182.0
2015-01-01,Wilson,114.0
2016-01-01,Wilson,117.0
2017-01-01,Wilson,348.0
2018-01-01,Wilson,234.0
2019-01-01,Wilson,181.0
2014-01-01,Yadkin,36.0
2015-01-01,Yadkin,4.0
2016-01-01,Yadkin,5.0
2017-01-01,Yadkin,6.0
2018-01-01,Yadkin,57.0
2019-01-01,Yadkin,58.0
2014-01-01,Pitt,905.0
2015-01-01,Pitt,538.0
2016-01-01,Pitt,861.0
2017-01-01,Pitt,1137.0
2018-01-01,Pitt,1150.0
2019-01-01,Pitt,1030.0
2014-01-01,Yancey,51.0
2015-01-01,Yancey,50.0
2016-01-01,Yancey,51.0
2017-01-01,Yancey,16.0
2018-01-01,Yancey,39.0
2019-01-01,Yancey,68.0
2014-01-01,Wilkes,92.0
2015-01-01,Wilkes,159.0
2016-01-01,Wilkes,144.0
2017-01-01,Wilkes,120.0
2018-01-01,Wilkes,94.0
2019-01-01,Wilkes,92.0
2014-01-01,Wayne,257.0
2015-01-01,Wayne,248.0
2016-01-01,Wayne,269.0
2017-01-01,Wayne,280.0
2018-01-01,Wayne,275.0
2019-01-01,Wayne,323.0
2014-01-01,Washington,8.0
2015-01-01,Washington,8.0
2016-01-01,Washington,8.0
2017-01-01,Washington,6.0
2018-01-01,Washington,5.0
2019-01-01,Washington,8.0
2014-01-01,Warren,30.0
2015-01-01,Warren,48.0
2016-01-01,Warren,40.0
2017-01-01,Warren,41.0
2018-01-01,Warren,55.0
2019-01-01,Warren,57.0
2014-01-01,Wake,10125.0
2015-01-01,Wake,10089.0
2016-01-01,Wake,11050.0
2017-01-01,Wake,11335.0
2018-01-01,Wake,12664.0
2019-01-01,Wake,9751.0
2014-01-01,Vance,26.0
2015-01-01,Vance,74.0
2016-01-01,Vance,35.0
2017-01-01,Vance,60.0
2018-01-01,Vance,44.0
2019-01-01,Vance,42.0
2014-01-01,Union,1425.0
2015-01-01,Union,1396.0
2016-01-01,Union,1572.0
2017-01-01,Union,1537.0
2018-01-01,Union,1634.0
2019-01-01,Union,1623.0
2014-01-01,Tyrrell,1.0
2015-01-01,Tyrrell,1.0
2016-01-01,Tyrrell,1.0
2017-01-01,Tyrrell,3.0
2018-01-01,Tyrrell,3.0
2019-01-01,Tyrrell,4.0
2014-01-01,Transylvania,65.0
2015-01-01,Transylvania,82.0
2016-01-01,Transylvania,104.0
2017-01-01,Transylvania,112.0
2018-01-01,Transylvania,128.0
2019-01-01,Transylvania,118.0
2014-01-01,Surry,73.0
2015-01-01,Surry,154.0
2016-01-01,Surry,154.0
2017-01-01,Surry,113.0
2018-01-01,Surry,159.0
2019-01-01,Surry,98.0
2014-01-01,Stokes,135.0
2015-01-01,Stokes,75.0
2016-01-01,Stokes,85.0
2017-01-01,Stokes,69.0
2018-01-01,Stokes,69.0
2019-01-01,Stokes,97.0
2014-01-01,Scotland,32.0
2015-01-01,Scotland,29.0
2016-01-01,Scotland,9.0
2017-01-01,Scotland,15.0
2018-01-01,Scotland,20.0
2019-01-01,Scotland,24.0
2014-01-01,Rowan,288.0
2015-01-01,Rowan,294.0
2016-01-01,Rowan,320.0
2017-01-01,Rowan,403.0
2018-01-01,Rowan,541.0
2019-01-01,Rowan,464.0
